vehicleId: 1; start (30;100); startTime: 1; now (380;100); timecount: 356; boxId: B111, B110, ;PU
vehicleId: 0; start (20;100); startTime: 1; now (380;100); timecount: 366; boxId: B109, ;PU
vehicleId: 1; start (380;100); startTime: 356; now (110;100); timecount: 631; boxId: B111, B110, ;PL
vehicleId: 0; start (380;100); startTime: 366; now (110;100); timecount: 641; boxId: B109, ;PL
vehicleId: 0; start (110;100); startTime: 642; now (250;100); timecount: 787; boxId: B59, ;PU
vehicleId: 1; start (110;100); startTime: 631; now (380;100); timecount: 906; boxId: B108, ;PU
vehicleId: 0; start (250;100); startTime: 787; now (380;100); timecount: 922; boxId: B59, ;PL
vehicleId: 0; start (380;100); startTime: 922; now (250;100); timecount: 1057; boxId: B58, ;PU
vehicleId: 1; start (380;100); startTime: 906; now (10;100); timecount: 1281; boxId: B108, ;PL
vehicleId: 0; start (250;100); startTime: 1057; now (10;100); timecount: 1302; boxId: B58, ;PL
vehicleId: 1; start (10;100); startTime: 1282; now (970;100); timecount: 2247; boxId: B347, B346, ;PU
vehicleId: 0; start (10;100); startTime: 1302; now (970;100); timecount: 2267; boxId: B345, ;PU
vehicleId: 1; start (970;100); startTime: 2247; now (380;100); timecount: 2842; boxId: B347, B346, ;PL
vehicleId: 0; start (970;100); startTime: 2267; now (380;100); timecount: 2862; boxId: B345, ;PL
vehicleId: 1; start (380;100); startTime: 2842; now (970;100); timecount: 3437; boxId: B344, ;PU
vehicleId: 0; start (380;100); startTime: 2863; now (1050;100); timecount: 3538; boxId: B379, B378, ;PU
vehicleId: 0; start (1050;100); startTime: 3538; now (970;100); timecount: 3623; boxId: B379, B378, ;PL
vehicleId: 0; start (970;100); startTime: 3623; now (1050;100); timecount: 3708; boxId: B377, ;PU
vehicleId: 0; start (1050;100); startTime: 3708; now (970;100); timecount: 3793; boxId: B377, ;PL
vehicleId: 0; start (970;100); startTime: 3793; now (1050;100); timecount: 3878; boxId: B376, ;PU
vehicleId: 1; start (970;100); startTime: 3437; now (0;100); timecount: 4412; boxId: B344, ;PL
vehicleId: 0; start (1050;100); startTime: 3878; now (0;100); timecount: 4933; boxId: B376, ;PL
vehicleId: 1; start (0;100); startTime: 4412; now (950;100); timecount: 5367; boxId: B339, ;PU
vehicleId: 0; start (0;100); startTime: 4933; now (980;100); timecount: 5918; boxId: B351, ;PU
vehicleId: 1; start (950;100); startTime: 5367; now (0;100); timecount: 6322; boxId: B339, ;PL
vehicleId: 1; start (0;100); startTime: 6322; now (350;100); timecount: 6677; boxId: B99, ;PU
vehicleId: 0; start (980;100); startTime: 5918; now (0;100); timecount: 6903; boxId: B351, ;PL
vehicleId: 1; start (350;100); startTime: 6677; now (10;100); timecount: 7022; boxId: B99, ;PL
vehicleId: 0; start (0;100); startTime: 6904; now (810;100); timecount: 7719; boxId: B283, B282, ;PU
vehicleId: 1; start (10;100); startTime: 7022; now (810;100); timecount: 7827; boxId: B281, ;PU
vehicleId: 0; start (810;100); startTime: 7719; now (1050;100); timecount: 7964; boxId: B283, B282, ;PL
vehicleId: 0; start (1050;100); startTime: 7964; now (990;100); timecount: 8029; boxId: B355, ;PU
vehicleId: 1; start (810;100); startTime: 7827; now (10;100); timecount: 8632; boxId: B281, ;PL
vehicleId: 0; start (990;100); startTime: 8029; now (0;100); timecount: 9024; boxId: B355, ;PL
vehicleId: 0; start (0;100); startTime: 9025; now (170;100); timecount: 9200; boxId: B27, ;PU
vehicleId: 1; start (10;100); startTime: 8632; now (960;100); timecount: 9587; boxId: B343, ;PU
vehicleId: 0; start (170;100); startTime: 9200; now (810;100); timecount: 9845; boxId: B27, ;PL
vehicleId: 0; start (810;100); startTime: 9845; now (170;100); timecount: 10490; boxId: B26, ;PU
vehicleId: 1; start (960;100); startTime: 9587; now (0;100); timecount: 10552; boxId: B343, ;PL
vehicleId: 0; start (170;100); startTime: 10490; now (10;100); timecount: 10655; boxId: B26, ;PL
vehicleId: 0; start (10;100); startTime: 10655; now (160;100); timecount: 10810; boxId: B23, B22, ;PU
vehicleId: 0; start (160;100); startTime: 10810; now (10;100); timecount: 10965; boxId: B23, B22, ;PL
vehicleId: 1; start (0;100); startTime: 10552; now (730;100); timecount: 11287; boxId: B251, ;PU
vehicleId: 0; start (10;100); startTime: 10966; now (1020;100); timecount: 11981; boxId: B367, B366, ;PU
vehicleId: 1; start (730;100); startTime: 11287; now (10;100); timecount: 12012; boxId: B251, ;PL
vehicleId: 0; start (1020;100); startTime: 11981; now (160;100); timecount: 12846; boxId: B367, B366, ;PL
vehicleId: 1; start (10;100); startTime: 12012; now (1020;100); timecount: 13027; boxId: B365, ;PU
vehicleId: 0; start (160;100); startTime: 12846; now (1020;100); timecount: 13711; boxId: B364, ;PU
vehicleId: 1; start (1020;100); startTime: 13027; now (160;100); timecount: 13892; boxId: B365, ;PL
vehicleId: 1; start (160;100); startTime: 13893; now (790;100); timecount: 14528; boxId: B275, ;PU
vehicleId: 0; start (1020;100); startTime: 13711; now (10;100); timecount: 14726; boxId: B364, ;PL
vehicleId: 1; start (790;100); startTime: 14528; now (1020;100); timecount: 14763; boxId: B275, ;PL
vehicleId: 0; start (10;100); startTime: 14726; now (790;100); timecount: 15511; boxId: B274, B273, ;PU
vehicleId: 1; start (1020;100); startTime: 14763; now (790;100); timecount: 15512; boxId: B272, ;PU
vehicleId: 0; start (790;100); startTime: 15511; now (0;100); timecount: 16306; boxId: B274, B273, ;PL
vehicleId: 1; start (790;100); startTime: 15512; now (0;100); timecount: 16307; boxId: B272, ;PL
vehicleId: 0; start (0;100); startTime: 16307; now (780;100); timecount: 17092; boxId: B271, B270, ;PU
vehicleId: 1; start (0;100); startTime: 16307; now (780;100); timecount: 17092; boxId: B269, ;PU
vehicleId: 0; start (780;100); startTime: 17092; now (790;100); timecount: 17107; boxId: B271, B270, ;PL
vehicleId: 1; start (780;100); startTime: 17092; now (790;100); timecount: 17107; boxId: B269, ;PL
vehicleId: 0; start (790;100); startTime: 17107; now (780;100); timecount: 17122; boxId: B268, ;PU
vehicleId: 1; start (790;100); startTime: 17108; now (290;100); timecount: 17613; boxId: B75, B74, ;PU
vehicleId: 0; start (780;100); startTime: 17122; now (0;100); timecount: 17907; boxId: B268, ;PL
vehicleId: 1; start (290;100); startTime: 17613; now (780;100); timecount: 18108; boxId: B75, B74, ;PL
vehicleId: 0; start (0;100); startTime: 17907; now (290;100); timecount: 18202; boxId: B73, ;PU
vehicleId: 1; start (780;100); startTime: 18109; now (610;100); timecount: 18284; boxId: B203, B202, ;PU
vehicleId: 0; start (290;100); startTime: 18202; now (0;100); timecount: 18497; boxId: B73, ;PL
vehicleId: 1; start (610;100); startTime: 18284; now (1020;100); timecount: 18699; boxId: B203, B202, ;PL
vehicleId: 1; start (1020;100); startTime: 18699; now (660;100); timecount: 19064; boxId: B223, ;PU
vehicleId: 0; start (0;100); startTime: 18497; now (610;100); timecount: 19112; boxId: B201, ;PU
vehicleId: 1; start (660;100); startTime: 19064; now (10;100); timecount: 19719; boxId: B223, ;PL
vehicleId: 0; start (610;100); startTime: 19112; now (0;100); timecount: 19727; boxId: B201, ;PL
vehicleId: 1; start (10;100); startTime: 19720; now (530;100); timecount: 20245; boxId: B171, B170, ;PU
vehicleId: 0; start (0;100); startTime: 19727; now (530;100); timecount: 20262; boxId: B169, ;PU
vehicleId: 1; start (530;100); startTime: 20245; now (290;100); timecount: 20490; boxId: B171, B170, ;PL
vehicleId: 0; start (530;100); startTime: 20262; now (290;100); timecount: 20507; boxId: B169, ;PL
vehicleId: 0; start (290;100); startTime: 20507; now (240;100); timecount: 20562; boxId: B55, ;PU
vehicleId: 1; start (290;100); startTime: 20490; now (530;100); timecount: 20735; boxId: B168, ;PU
vehicleId: 0; start (240;100); startTime: 20562; now (0;100); timecount: 20807; boxId: B55, ;PL
vehicleId: 1; start (530;100); startTime: 20735; now (10;100); timecount: 21260; boxId: B168, ;PL
vehicleId: 0; start (0;100); startTime: 20807; now (860;100); timecount: 21672; boxId: B303, ;PU
vehicleId: 1; start (10;100); startTime: 21261; now (1000;100); timecount: 22256; boxId: B359, ;PU
vehicleId: 0; start (860;100); startTime: 21672; now (10;100); timecount: 22527; boxId: B303, ;PL
vehicleId: 1; start (1000;100); startTime: 22256; now (530;100); timecount: 22731; boxId: B359, ;PL
vehicleId: 1; start (530;100); startTime: 22731; now (320;100); timecount: 22946; boxId: B87, ;PU
vehicleId: 1; start (320;100); startTime: 22946; now (10;100); timecount: 23261; boxId: B87, ;PL
vehicleId: 0; start (10;100); startTime: 22527; now (1000;100); timecount: 23522; boxId: B358, ;PU
vehicleId: 1; start (10;100); startTime: 23262; now (800;100); timecount: 24057; boxId: B279, B278, ;PU
vehicleId: 1; start (800;100); startTime: 24057; now (530;100); timecount: 24332; boxId: B279, B278, ;PL
vehicleId: 0; start (1000;100); startTime: 23522; now (10;100); timecount: 24517; boxId: B358, ;PL
vehicleId: 1; start (530;100); startTime: 24332; now (800;100); timecount: 24607; boxId: B277, ;PU
vehicleId: 1; start (800;100); startTime: 24607; now (530;100); timecount: 24882; boxId: B277, ;PL
vehicleId: 1; start (530;100); startTime: 24883; now (370;100); timecount: 25048; boxId: B107, ;PU
vehicleId: 1; start (370;100); startTime: 25048; now (610;100); timecount: 25293; boxId: B107, ;PL
vehicleId: 0; start (10;100); startTime: 24517; now (800;100); timecount: 25312; boxId: B276, ;PU
vehicleId: 1; start (610;100); startTime: 25293; now (370;100); timecount: 25538; boxId: B106, ;PU
vehicleId: 1; start (370;100); startTime: 25538; now (0;100); timecount: 25913; boxId: B106, ;PL
vehicleId: 0; start (800;100); startTime: 25312; now (10;100); timecount: 26107; boxId: B276, ;PL
vehicleId: 1; start (0;100); startTime: 25914; now (480;100); timecount: 26399; boxId: B151, B150, ;PU
vehicleId: 0; start (10;100); startTime: 26107; now (480;100); timecount: 26582; boxId: B149, ;PU
vehicleId: 1; start (480;100); startTime: 26399; now (800;100); timecount: 26724; boxId: B151, B150, ;PL
vehicleId: 0; start (480;100); startTime: 26582; now (800;100); timecount: 26907; boxId: B149, ;PL
vehicleId: 1; start (800;100); startTime: 26724; now (480;100); timecount: 27049; boxId: B148, ;PU
vehicleId: 0; start (800;100); startTime: 26908; now (330;100); timecount: 27383; boxId: B91, B90, ;PU
vehicleId: 1; start (480;100); startTime: 27049; now (10;100); timecount: 27524; boxId: B148, ;PL
vehicleId: 0; start (330;100); startTime: 27383; now (480;100); timecount: 27538; boxId: B91, B90, ;PL
vehicleId: 1; start (10;100); startTime: 27524; now (330;100); timecount: 27849; boxId: B89, ;PU
vehicleId: 0; start (480;100); startTime: 27538; now (330;100); timecount: 27851; boxId: B88, ;PU
vehicleId: 1; start (330;100); startTime: 27849; now (480;100); timecount: 28004; boxId: B89, ;PL
vehicleId: 0; start (330;100); startTime: 27851; now (10;100); timecount: 28176; boxId: B88, ;PL
vehicleId: 1; start (480;100); startTime: 28005; now (850;100); timecount: 28380; boxId: B299, B298, ;PU
vehicleId: 1; start (850;100); startTime: 28380; now (330;100); timecount: 28905; boxId: B299, B298, ;PL
vehicleId: 0; start (10;100); startTime: 28176; now (850;100); timecount: 29021; boxId: B297, ;PU
vehicleId: 1; start (330;100); startTime: 28905; now (850;100); timecount: 29430; boxId: B296, ;PU
vehicleId: 0; start (850;100); startTime: 29021; now (330;100); timecount: 29546; boxId: B297, ;PL
vehicleId: 0; start (330;100); startTime: 29547; now (180;100); timecount: 29702; boxId: B31, B30, ;PU
vehicleId: 1; start (850;100); startTime: 29430; now (10;100); timecount: 30275; boxId: B296, ;PL
vehicleId: 0; start (180;100); startTime: 29702; now (850;100); timecount: 30377; boxId: B31, B30, ;PL
vehicleId: 1; start (10;100); startTime: 30275; now (180;100); timecount: 30450; boxId: B29, ;PU
vehicleId: 0; start (850;100); startTime: 30377; now (180;100); timecount: 31052; boxId: B28, ;PU
vehicleId: 1; start (180;100); startTime: 30450; now (850;100); timecount: 31125; boxId: B29, ;PL
vehicleId: 0; start (180;100); startTime: 31052; now (10;100); timecount: 31227; boxId: B28, ;PL
vehicleId: 0; start (10;100); startTime: 31227; now (250;100); timecount: 31472; boxId: B57, ;PU
vehicleId: 0; start (250;100); startTime: 31472; now (0;100); timecount: 31727; boxId: B57, ;PL
vehicleId: 1; start (850;100); startTime: 31125; now (210;100); timecount: 31770; boxId: B43, ;PU
vehicleId: 1; start (210;100); startTime: 31770; now (10;100); timecount: 31975; boxId: B43, ;PL
vehicleId: 0; start (0;100); startTime: 31727; now (930;100); timecount: 32662; boxId: B331, ;PU
vehicleId: 1; start (10;100); startTime: 31976; now (1090;100); timecount: 33061; boxId: B395, ;PU
vehicleId: 0; start (930;100); startTime: 32662; now (10;100); timecount: 33587; boxId: B331, ;PL
vehicleId: 1; start (1090;100); startTime: 33061; now (180;100); timecount: 33976; boxId: B395, ;PL
vehicleId: 1; start (180;100); startTime: 33977; now (570;100); timecount: 34372; boxId: B187, B186, ;PU
vehicleId: 0; start (10;100); startTime: 33587; now (1090;100); timecount: 34672; boxId: B394, ;PU
vehicleId: 1; start (570;100); startTime: 34372; now (180;100); timecount: 34767; boxId: B187, B186, ;PL
vehicleId: 1; start (180;100); startTime: 34767; now (570;100); timecount: 35162; boxId: B185, ;PU
vehicleId: 1; start (570;100); startTime: 35162; now (0;100); timecount: 35737; boxId: B185, ;PL
vehicleId: 0; start (1090;100); startTime: 34672; now (0;100); timecount: 35767; boxId: B394, ;PL
vehicleId: 1; start (0;100); startTime: 35738; now (520;100); timecount: 36263; boxId: B167, B166, ;PU
vehicleId: 0; start (0;100); startTime: 35767; now (520;100); timecount: 36292; boxId: B165, ;PU
vehicleId: 1; start (520;100); startTime: 36263; now (250;100); timecount: 36538; boxId: B167, B166, ;PL
vehicleId: 0; start (520;100); startTime: 36292; now (10;100); timecount: 36807; boxId: B165, ;PL
