vehicleId: 2; start (40;100); startTime: 1; now (120;100); timecount: 83; boxId: B19, ;PU
vehicleId: 1; start (30;100); startTime: 1; now (120;100); timecount: 93; boxId: B18, ;PU
vehicleId: 2; start (120;100); startTime: 83; now (110;100); timecount: 95; boxId: B19, ;PL
vehicleId: 0; start (20;100); startTime: 1; now (120;100); timecount: 103; boxId: B17, ;PU
vehicleId: 1; start (120;100); startTime: 93; now (110;100); timecount: 105; boxId: B18, ;PL
vehicleId: 2; start (110;100); startTime: 95; now (120;100); timecount: 107; boxId: B16, ;PU
vehicleId: 0; start (120;100); startTime: 103; now (110;100); timecount: 115; boxId: B17, ;PL
vehicleId: 1; start (110;100); startTime: 105; now (120;100); timecount: 117; boxId: B15, ;PU
vehicleId: 2; start (120;100); startTime: 107; now (110;100); timecount: 119; boxId: B16, ;PL
vehicleId: 0; start (110;100); startTime: 115; now (120;100); timecount: 127; boxId: B14, ;PU
vehicleId: 1; start (120;100); startTime: 117; now (110;100); timecount: 129; boxId: B15, ;PL
vehicleId: 0; start (120;100); startTime: 127; now (10;100); timecount: 239; boxId: B14, ;PL
vehicleId: 2; start (110;100); startTime: 120; now (780;100); timecount: 792; boxId: B679, ;PU
vehicleId: 1; start (110;100); startTime: 129; now (780;100); timecount: 801; boxId: B678, ;PU
vehicleId: 2; start (780;100); startTime: 792; now (770;100); timecount: 804; boxId: B679, ;PL
vehicleId: 1; start (780;100); startTime: 801; now (770;100); timecount: 813; boxId: B678, ;PL
vehicleId: 1; start (770;100); startTime: 813; now (900;100); timecount: 945; boxId: B799, ;PU
vehicleId: 0; start (10;100); startTime: 239; now (780;100); timecount: 1011; boxId: B677, ;PU
vehicleId: 2; start (770;100); startTime: 804; now (780;100); timecount: 1012; boxId: B676, ;PU
vehicleId: 0; start (780;100); startTime: 1011; now (770;100); timecount: 1023; boxId: B677, ;PL
vehicleId: 0; start (770;100); startTime: 1024; now (1070;100); timecount: 1326; boxId: B969, ;PU
vehicleId: 0; start (1070;100); startTime: 1326; now (1060;100); timecount: 1338; boxId: B969, ;PL
vehicleId: 0; start (1060;100); startTime: 1338; now (1070;100); timecount: 1350; boxId: B968, ;PU
vehicleId: 0; start (1070;100); startTime: 1350; now (1060;100); timecount: 1362; boxId: B968, ;PL
vehicleId: 0; start (1060;100); startTime: 1362; now (1070;100); timecount: 1374; boxId: B967, ;PU
vehicleId: 0; start (1070;100); startTime: 1374; now (1060;100); timecount: 1386; boxId: B967, ;PL
vehicleId: 0; start (1060;100); startTime: 1386; now (1070;100); timecount: 1398; boxId: B966, ;PU
vehicleId: 0; start (1070;100); startTime: 1398; now (1060;100); timecount: 1410; boxId: B966, ;PL
vehicleId: 0; start (1060;100); startTime: 1410; now (1070;100); timecount: 1422; boxId: B965, ;PU
vehicleId: 0; start (1070;100); startTime: 1422; now (1060;100); timecount: 1434; boxId: B965, ;PL
vehicleId: 0; start (1060;100); startTime: 1434; now (1070;100); timecount: 1446; boxId: B964, ;PU
vehicleId: 0; start (1070;100); startTime: 1446; now (1060;100); timecount: 1458; boxId: B964, ;PL
vehicleId: 0; start (1060;100); startTime: 1458; now (1070;100); timecount: 1470; boxId: B963, ;PU
vehicleId: 0; start (1070;100); startTime: 1470; now (1060;100); timecount: 1482; boxId: B963, ;PL
vehicleId: 0; start (1060;100); startTime: 1482; now (1070;100); timecount: 1494; boxId: B962, ;PU
vehicleId: 2; start (780;100); startTime: 1012; now (10;100); timecount: 1784; boxId: B676, ;PL
vehicleId: 1; start (900;100); startTime: 945; now (0;100); timecount: 1847; boxId: B799, ;PL
vehicleId: 0; start (1070;100); startTime: 1494; now (10;100); timecount: 2556; boxId: B962, ;PL
vehicleId: 1; start (0;100); startTime: 1848; now (930;100); timecount: 2780; boxId: B829, ;PU
vehicleId: 1; start (930;100); startTime: 2780; now (920;100); timecount: 2792; boxId: B829, ;PL
vehicleId: 2; start (10;100); startTime: 1784; now (1070;100); timecount: 2846; boxId: B961, ;PU
vehicleId: 0; start (10;100); startTime: 2556; now (930;100); timecount: 3478; boxId: B828, ;PU
vehicleId: 1; start (920;100); startTime: 2792; now (930;100); timecount: 3478; boxId: B827, ;PU
vehicleId: 0; start (930;100); startTime: 3478; now (920;100); timecount: 3490; boxId: B828, ;PL
vehicleId: 1; start (930;100); startTime: 3478; now (920;100); timecount: 3490; boxId: B827, ;PL
vehicleId: 0; start (920;100); startTime: 3490; now (930;100); timecount: 3502; boxId: B826, ;PU
vehicleId: 1; start (920;100); startTime: 3490; now (930;100); timecount: 3502; boxId: B825, ;PU
vehicleId: 0; start (930;100); startTime: 3502; now (920;100); timecount: 3514; boxId: B826, ;PL
vehicleId: 1; start (930;100); startTime: 3502; now (920;100); timecount: 3514; boxId: B825, ;PL
vehicleId: 0; start (920;100); startTime: 3514; now (930;100); timecount: 3526; boxId: B824, ;PU
vehicleId: 1; start (920;100); startTime: 3514; now (930;100); timecount: 3526; boxId: B823, ;PU
vehicleId: 0; start (930;100); startTime: 3526; now (920;100); timecount: 3538; boxId: B824, ;PL
vehicleId: 1; start (930;100); startTime: 3526; now (920;100); timecount: 3538; boxId: B823, ;PL
vehicleId: 0; start (920;100); startTime: 3538; now (930;100); timecount: 3550; boxId: B822, ;PU
vehicleId: 1; start (920;100); startTime: 3538; now (930;100); timecount: 3550; boxId: B821, ;PU
vehicleId: 0; start (930;100); startTime: 3550; now (920;100); timecount: 3562; boxId: B822, ;PL
vehicleId: 0; start (920;100); startTime: 3563; now (790;100); timecount: 3695; boxId: B689, ;PU
vehicleId: 0; start (790;100); startTime: 3695; now (780;100); timecount: 3707; boxId: B689, ;PL
vehicleId: 0; start (780;100); startTime: 3707; now (790;100); timecount: 3719; boxId: B688, ;PU
vehicleId: 0; start (790;100); startTime: 3719; now (780;100); timecount: 3731; boxId: B688, ;PL
vehicleId: 0; start (780;100); startTime: 3731; now (790;100); timecount: 3743; boxId: B687, ;PU
vehicleId: 0; start (790;100); startTime: 3743; now (780;100); timecount: 3755; boxId: B687, ;PL
vehicleId: 0; start (780;100); startTime: 3755; now (790;100); timecount: 3767; boxId: B686, ;PU
vehicleId: 0; start (790;100); startTime: 3767; now (780;100); timecount: 3779; boxId: B686, ;PL
vehicleId: 0; start (780;100); startTime: 3779; now (790;100); timecount: 3791; boxId: B685, ;PU
vehicleId: 2; start (1070;100); startTime: 2846; now (10;100); timecount: 3908; boxId: B961, ;PL
vehicleId: 1; start (930;100); startTime: 3550; now (10;100); timecount: 4472; boxId: B821, ;PL
vehicleId: 0; start (790;100); startTime: 3791; now (0;100); timecount: 4583; boxId: B685, ;PL
vehicleId: 2; start (10;100); startTime: 3909; now (730;100); timecount: 4631; boxId: B629, ;PU
vehicleId: 2; start (730;100); startTime: 4631; now (720;100); timecount: 4643; boxId: B629, ;PL
vehicleId: 1; start (10;100); startTime: 4472; now (730;100); timecount: 5194; boxId: B628, ;PU
vehicleId: 1; start (730;100); startTime: 5194; now (720;100); timecount: 5206; boxId: B628, ;PL
vehicleId: 0; start (0;100); startTime: 4583; now (730;100); timecount: 5315; boxId: B627, ;PU
vehicleId: 2; start (720;100); startTime: 4643; now (730;100); timecount: 5315; boxId: B626, ;PU
vehicleId: 1; start (720;100); startTime: 5206; now (730;100); timecount: 5316; boxId: B625, ;PU
vehicleId: 0; start (730;100); startTime: 5315; now (720;100); timecount: 5327; boxId: B627, ;PL
vehicleId: 2; start (730;100); startTime: 5315; now (720;100); timecount: 5327; boxId: B626, ;PL
vehicleId: 1; start (730;100); startTime: 5316; now (720;100); timecount: 5328; boxId: B625, ;PL
vehicleId: 0; start (720;100); startTime: 5327; now (730;100); timecount: 5339; boxId: B624, ;PU
vehicleId: 2; start (720;100); startTime: 5327; now (730;100); timecount: 5339; boxId: B623, ;PU
vehicleId: 1; start (720;100); startTime: 5328; now (730;100); timecount: 5340; boxId: B622, ;PU
vehicleId: 0; start (730;100); startTime: 5339; now (720;100); timecount: 5351; boxId: B624, ;PL
vehicleId: 2; start (730;100); startTime: 5339; now (720;100); timecount: 5351; boxId: B623, ;PL
vehicleId: 1; start (730;100); startTime: 5340; now (720;100); timecount: 5352; boxId: B622, ;PL
vehicleId: 0; start (720;100); startTime: 5351; now (730;100); timecount: 5363; boxId: B621, ;PU
